8569 ? 0     account_account                                       
8570 ? 0     account_account_consol_rel                            
8571 ? 0     account_account_financial_report                      
8572 = 27    account_account_financial_report_type                 
8574 ? 0     account_account_tax_default_rel                       
8575 = 4677  account_account_template                              
8577 = 5     account_account_template_tax_rel                      
8578 = 32    account_account_type                                  
8580 ? 0     account_account_type_rel                              
8581 ? 0     account_addtmpl_wizard                                
8583 ? 0     account_aged_trial_balance                            
8585 ? 0     account_aged_trial_balance_journal_rel                
8586 ? 0     account_analytic_account                              
8588 ? 0     account_analytic_balance                              
8590 ? 0     account_analytic_chart                                
8592 ? 0     account_analytic_cost_ledger                          
8594 ? 0     account_analytic_cost_ledger_journal_report           
8596 ? 0     account_analytic_inverted_balance                     
8598 = 5     account_analytic_journal                              
8600 ? 0     account_analytic_journal_name                         
8601 ? 0     account_analytic_journal_report                       
8603 ? 0     account_analytic_line                                 
8605 ? 0     account_automatic_reconcile                           
8607 ? 0     account_balance_report                                
8609 ? 0     account_balance_report_journal_rel                    
8610 ? 0     account_balance_reporting                             
8611 ? 0     account_balance_reporting_account_period_current_rel  
8612 ? 0     account_balance_reporting_account_period_previous_rel 
8614 ? 0     account_balance_reporting_line                        
8616 ? 0     account_balance_reporting_print_wizard                
8618 = 162   account_balance_reporting_template                    
8620 = 394   account_balance_reporting_template_line               
8622 ? 0     account_bank_accounts_wizard                          
8624 ? 0     account_bank_statement                                
8626 ? 0     account_bank_statement_line                           
8628 ? 0     account_bank_statement_line_move_rel                  
8629 ? 0     account_cashbox_line                                  
8631 ? 0     account_central_journal                               
8633 ? 0     account_central_journal_journal_rel                   
8634 ? 0     account_change_currency                               
8636 ? 0     account_chart                                         
8638 = 7     account_chart_template                                
8640 ? 0     account_common_account_report                         
8641 ? 0     account_common_account_report_account_journal_rel     
8643 ? 0     account_common_journal_report                         
8644 ? 0     account_common_journal_report_account_journal_rel     
8646 ? 0     account_common_partner_report                         
8647 ? 0     account_common_partner_report_account_journal_rel     
8649 ? 0     account_common_report                                 
8650 ? 0     account_common_report_account_journal_rel             
8652 ? 0     account_config_settings                               
8654 ? 0     account_move                                          
8655 ? 0     account_move_line                                     
8656 ? 0     account_period                                        
8657 = 11    account_financial_report                              
8659 ? 0     account_fiscal_position                               
8660 ? 0     account_fiscal_position_account                       
8662 = 39    account_fiscal_position_account_template              
8665 ? 0     account_fiscal_position_tax                           
8667 = 1027  account_fiscal_position_tax_template                  
8669 = 44    account_fiscal_position_template                      
8671 ? 0     account_fiscalyear                                    
8672 ? 0     account_fiscalyear_close                              
8674 ? 0     account_fiscalyear_close_state                        
8677 ? 0     account_general_journal                               
8679 ? 0     account_general_journal_journal_rel                   
8680 ? 0     account_installer                                     
8682 ? 0     account_invoice                                       
8683 ? 0     account_invoice_cancel                                
8685 ? 0     account_invoice_confirm                               
8688 ? 0     account_invoice_line                                  
8690 ? 0     account_invoice_line_tax                              
8691 ? 0     account_invoice_refund                                
8693 ? 0     account_invoice_tax                                   
8695 = 4     account_journal                                       
8696 ? 0     account_journal_account_vat_declaration_rel           
8697 ? 0     account_journal_accounting_report_rel                 
8698 = 18    account_journal_cashbox_line                          
8700 ? 0     account_journal_group_rel                             
8702 ? 0     account_journal_period                                
8704 ? 0     account_journal_select                                
8706 ? 0     account_journal_type_rel                              
8707 ? 0     account_model                                         
8709 ? 0     account_model_line                                    
8711 ? 0     account_move_bank_reconcile                           
8715 ? 0     account_move_line_reconcile                           
8717 ? 0     account_move_line_reconcile_select                    
8719 ? 0     account_move_line_reconcile_writeoff                  
8721 ? 0     account_move_line_relation                            
8722 ? 0     account_move_line_unreconcile_select                  
8724 ? 0     account_move_reconcile                                
8726 ? 0     account_open_closed_fiscalyear                        
8728 ? 0     account_partner_balance                               
8730 ? 0     account_partner_balance_journal_rel                   
8731 ? 0     account_partner_ledger                                
8733 ? 0     account_partner_ledger_journal_rel                    
8734 ? 0     account_partner_reconcile_process                     
8736 = 6     account_payment_term                                  
8738 = 6     account_payment_term_line                             
8740 ? 0     account_period_close                                  
8743 ? 0     account_print_journal                                 
8745 ? 0     account_print_journal_journal_rel                     
8746 ? 0     account_report_general_ledger                         
8748 ? 0     account_report_general_ledger_journal_rel             
8749 ? 0     account_sequence_fiscalyear                           
8751 ? 0     account_state_open                                    
8753 ? 0     account_statement_from_invoice_lines                  
8755 ? 0     account_subscription                                  
8756 ? 0     account_subscription_generate                         
8759 ? 0     account_subscription_line                             
8761 ? 0     account_tax                                           
8762 ? 0     account_tax_chart                                     
8764 ? 0     account_tax_code                                      
8766 = 572   account_tax_code_template                             
8769 = 3019  account_tax_template                                  
8771 ? 0     account_template_financial_report                     
8772 ? 0     account_unreconcile                                   
8774 ? 0     account_unreconcile_reconcile                         
8776 ? 0     account_use_model                                     
8778 ? 0     account_use_model_relation                            
8779 ? 0     account_vat_declaration                               
8781 ? 0     account_voucher                                       
8783 ? 0     account_voucher_line                                  
8785 ? 0     accounting_report                                     
8787 ? 0     action_traceability                                   
8789 ? 0     alarm_attendee_rel                                    
8790 ? 0     base_action_rule                                      
8792 ? 0     base_action_rule_ir_act_server_rel                    
8793 ? 0     base_action_rule_lead_test                            
8795 ? 0     base_action_rule_res_partner_rel                      
8796 ? 0     base_config_settings                                  
8798 ? 0     base_import_import                                    
8800 ? 0     base_import_tests_models_char                         
8802 ? 0     base_import_tests_models_char_noreadonly              
8804 ? 0     base_import_tests_models_char_readonly                
8806 ? 0     base_import_tests_models_char_required                
8808 ? 0     base_import_tests_models_char_states                  
8810 ? 0     base_import_tests_models_char_stillreadonly           
8812 ? 0     base_import_tests_models_m2o                          
8814 ? 0     base_import_tests_models_m2o_related                  
8816 ? 0     base_import_tests_models_m2o_required                 
8818 ? 0     base_import_tests_models_m2o_required_related         
8820 ? 0     base_import_tests_models_o2m                          
8821 ? 0     base_import_tests_models_o2m_child                    
8824 ? 0     base_import_tests_models_preview                      
8826 ? 0     base_language_export                                  
8828 ? 0     base_language_import                                  
8830 ? 0     base_language_install                                 
8832 ? 0     base_language_install_website_rel                     
8833 ? 0     base_module_configuration                             
8835 ? 0     base_module_import                                    
8837 ? 0     base_module_update                                    
8839 ? 0     base_module_upgrade                                   
8841 ? 0     base_setup_terminology                                
8843 ? 0     base_update_translations                              
